id_station;total_capacity;total_load
1;807942;295007
2;777538;324776
3;819251;283971
4;670661;245133
5;546363;283413
6;850905;310500
7;557813;322861
8;699680;205190
9;616061;267136
10;873484;296745
11;534475;334063
12;805875;333383
13;567206;273132
14;749431;309094
15;718813;286680
16;729032;296058
17;851666;274717
18;671560;274495
19;723907;334745
20;778354;286391
21;682713;302011
22;648456;283758
23;847829;268132
24;766083;248092
25;713475;284640
26;612438;310240
27;657248;304315
28;542512;234299
29;628081;290776
30;571775;314379
31;831116;271651
32;735214;336698
33;613444;296365
34;774572;298142
35;556207;288435
36;670757;321970
37;830759;299836
38;589051;256140
39;568601;296530
40;690424;246926
41;695240;314083
42;788729;251923
43;731142;278471
44;802409;322685
45;661250;286120
46;825080;317814
47;548608;311530
48;620997;308856
49;673409;342503
50;846173;336596
51;610376;321087
52;621298;270296
53;772579;278576
54;689271;314524
55;587870;221033
56;869775;235666
57;757731;224740
58;584194;247227
59;718441;220547
60;872488;215567
61;832821;290608
62;592662;348434
63;561493;260536
64;836546;268511
65;836808;256950
66;734576;227176
67;751210;263081
68;844560;332339
69;861212;267110
70;610235;289380
71;887974;236569
72;664290;281236
73;573291;220869
74;556851;247246
75;542688;289328
76;859914;291406
77;686506;253359
78;751510;363578
79;867387;330221
80;792574;325606
81;643064;308867
82;770503;234901
83;861871;245133
84;851719;298150
85;626980;284038
86;881597;260927
87;664132;320564
88;811064;291867
89;754882;326390
90;543117;269533
91;866245;290600
92;654247;360264
93;704933;266434
94;791960;290763
95;787466;281817
96;873051;308422
97;786778;271063
98;816950;350944
99;822491;285583
100;857759;234531
101;716146;310129
102;811716;329468
103;718755;306078
104;820554;321234
105;772913;316074
106;578794;295944
107;574194;278392
108;720710;248538
109;588490;297290
110;716771;237004
111;764250;271747
112;596214;260104
113;797746;268396
114;599623;327305
115;583228;247497
116;850139;270789
117;723617;267988
118;798528;348953
119;896835;290797
120;621652;265472
121;662874;276396
122;629469;288517
123;795027;301105
124;878977;276489
125;798545;310942
126;624633;278845
127;592860;252664
128;887417;259612
129;854936;334377
130;669001;346287
131;651230;242248
132;885673;278858
133;839958;311050
134;861283;296352
135;568704;247578
136;839764;243606
137;858004;305380
138;666969;307416
139;826805;250731
140;574106;240462
141;608558;247471
142;721392;319880
143;785783;293510
144;863503;319393
145;615884;300657
146;874901;255269
147;620314;304776
148;797713;273833
149;765159;270093
150;718896;276875
151;782526;294059
152;832378;290287
153;800046;244801
154;746675;346676
155;754674;294985
156;541414;284952
157;769036;315473
158;712102;273562
159;850592;317545
160;690531;288807
161;540866;281243
162;604342;212972
163;683389;253622
164;782719;233821
165;881788;318529
166;685273;267331
167;674511;276260
168;599056;338509
169;555502;299072
170;751163;292816
171;717938;300538
172;683638;262653
173;740533;236284
174;777751;269495
175;767012;319807
176;755763;259408
177;619507;296057
178;607691;244948
179;684253;273146
180;672324;245928
181;742404;225712
182;755083;247656
183;818879;231509
184;536577;219561
185;653483;307321
186;792450;319893
187;681032;332898
188;801794;284470
189;638846;289523
190;795197;325362
191;759687;307920
192;548123;356444
193;788543;307901
194;601114;278967
195;757936;277047
196;828779;293042
197;718966;302084
198;775084;240114
199;747498;311687
200;701217;317668
201;853072;263314
202;837890;252710
203;683165;278490
204;678816;265099
205;771878;295966
206;790884;219720
207;820559;277585
208;684893;325671
209;570210;240989
210;871777;261431
211;809951;298670
212;802565;224357
213;737594;328788
214;824662;254002
215;612173;336707
216;566296;255373
217;636599;239300
218;653049;287590
219;732085;275652
220;785960;298018
221;608675;305124
222;767834;259845
223;803555;242707
224;689090;248323
225;710647;294362
226;752301;314102
227;577890;269422
228;779213;293147
229;761116;289579
230;704347;219197
231;674346;251358
232;600492;278075
233;575197;246569
234;887868;293669
235;770351;295770
236;795760;340059
237;614876;259312
238;845864;315121
239;712023;252601
240;886697;219752
241;786578;262913
242;694702;354346
243;678841;235113
244;578780;325987
245;739965;240286
246;658702;326697
247;792411;240657
248;828739;290739
249;621718;302287
250;886411;299239
251;565732;313665
252;834700;324229
253;564080;313073
254;755307;315379
255;630217;253582
256;707781;286647
257;759118;278216
258;653711;293367
259;855673;242334
260;671911;301506
261;850870;294092
262;746092;352018
263;606913;221356
264;883944;249671
265;598714;248350
266;783363;250925
267;637346;320096
268;683211;303275
269;846974;310356
270;672249;207722
271;554842;320505
272;609394;304394
273;563342;288997
274;687968;303030
275;685696;254108
276;866908;288045
277;744366;258450
278;732447;302028
279;853504;241786
280;870098;290860
281;563330;326548
282;632204;294135
283;755348;326013
284;737115;280675
285;798393;244489
286;639374;263192
287;885734;251685
288;754635;321586
289;563416;314294
290;808144;334704
291;686371;262058
292;811710;247757
293;582299;269693
294;651287;286243
295;626943;290777
296;794493;287525
297;592566;279908
298;784876;264963
299;824301;285782
300;550870;294751
301;588893;290937
302;868387;278850
303;769506;268492
304;854948;277936
305;880323;244077
306;823246;241128
307;840174;300120
308;708985;288882
309;547855;270239
310;612922;274024
311;626623;238789
312;583805;257575
313;756849;292843
314;568966;286210
315;827468;299354
316;738724;278228
317;708424;283670
318;817933;250855
319;838195;278143
320;870090;249484
321;555561;289781
322;858554;267495
323;704546;263679
324;784267;262043
325;801260;252874
326;604248;269023
327;663465;233240
328;570142;227661
329;764123;296666
330;747139;247802
331;753688;346139
332;780837;287795
333;684945;351943
334;595170;300841
335;613168;239816
336;547632;314660
337;650785;346565
338;691031;259822
339;689506;298992
340;847570;277149
341;816797;337815
342;782613;305295
343;541680;249924
344;878609;303708
345;814077;317886
346;866653;244967
347;890130;319832
348;619151;267691
349;685435;249152
350;738791;312872
351;700614;241580
352;734414;320670
353;561635;348797
354;763394;320896
355;654119;320049
356;748155;312303
357;640661;257409
358;570801;251815
359;638171;293897
360;757116;242181
361;602413;216811
362;730051;229662
363;713953;269271
364;809265;282596
365;623813;256428
366;868081;315234
367;540449;255355
368;640340;264147
369;794233;267463
370;667386;287269
371;892846;336387
372;648829;268176
373;786845;317996
374;719149;264768
375;810764;233500
376;612021;270046
377;644734;228602
378;786848;286880
379;868168;240750
380;763322;314106
381;574285;288255
382;615530;285326
383;836924;246140
384;606074;252685
385;670852;264124
386;719379;256730
387;756814;240669
388;786362;245059
389;589096;256989
390;862272;267797
391;758918;336164
392;576142;324985
393;543025;258359
394;800605;310610
395;631644;257805
396;763834;256314
397;617157;253683
398;828322;284688
399;904046;300065
400;851958;233228
401;735710;265450
402;705150;294506
403;881811;319775
404;1036367;297120
405;812925;294178
406;723988;299947
407;666024;243822
408;936029;330105
409;973342;239983
410;818196;238870
411;793648;258469
412;996302;226743
413;958680;279448
414;933630;328537
415;844000;296296
416;794556;291710
417;865656;258786
418;726468;258577
419;1046305;334674
420;833039;318091
421;726146;298270
422;695670;250770
423;641968;292140
424;949046;313467
425;800480;260332
426;873130;308620
427;1071710;294530
428;906609;324838
429;1006727;327143
430;848068;311375
431;902329;319390
432;1022048;289572
433;792479;318227
434;847514;239335
